abbreviation,expansion
approx,approximately
asap,as soon as possible
af,as fuck
eta,estimated time of arrival
bf,boyfriend
bc,because
bff,best friends forever
cya,see you
dm,direct message
fml,fuck my life
ftw,for the win
fw,fuck with
fyi,for your information’
ffs,for fucks sake
gf,girlfriend
gtfo,get the fuck out
hml,hit my line
hmu,hit me up
idk,i do not know
idc,i do not care
idgaf,i do not give a fuck
imo,in my opinion
imy,i miss you
ily,i love you
irl,in real life
istg,i swear to god
jk,just kidding
jw,just wondering
kys,kill your self
kms,kill my self
kmt,kiss my teeth
pls,please
lol,laughing out loud
loml,love of my life
lmao,laughing my ass off
lmfao,laughing my fucking ass off
lmk,let me know
mf,mother fucker
nvm,never mind
nsfw, not safe for work
ofc,of course
omg,oh my god
omw,on my way
rofl,rolling on floor laughing
rt,retweet
rn,right now
stfu,shut the fuck up
smh,shake my head
tmi,too much information
tbh,to be honest
tl,timeline
tf,the fuck
vs,versus
wyd,what you doing
wya,where you at
wth, what the hell
wtf,what the fuck
yolo,you only live once
